indexk,qx,qy,g2EPW,g2W90,g2W90long,g2W90tran,susRe,susIm,d2EPW,d2W90,d2W90long,d2W90tran
22,-0.5589,-1.3666,10111.749644311189,43161.592820910904,24942.6945524368,18218.898268473848,-20668.16122597517,13635.73871372818,-16467.260586501096,-80848.37141585187,-41507.69837164681,-39340.67304420557
23,-0.5425,-1.3571,3844.320151940809,41985.50137004686,23637.114150907164,18348.387219139622,-20106.476940165874,12745.916707299979,-6096.421672433288,-72288.5576378595,-35236.066465564276,-37052.491172295595
24,-0.526,-1.3476,1672.7163302602223,40978.738658625116,22421.977923616618,18556.760735008444,-19695.469391778253,13647.887313311276,-2579.5633080811845,-65642.53987419387,-30649.814260996347,-34992.72561319761
25,-0.5096,-1.3382,748.3124795248017,40154.39936184009,21304.731240094512,18849.668121745257,-19408.629322290402,15500.05785321691,-1123.4957479223592,-60726.28498996233,-27525.905422189055,-33200.37956777299
26,-0.4931,-1.3287,315.6635261093323,39522.946351388455,20294.015233722577,19228.931117665736,-19213.68613621208,17144.876153392615,-463.71537104619114,-57234.044029326935,-25568.875770444527,-31665.168258882517
27,-0.4767,-1.3192,110.61422931902052,39092.23361060171,19394.038628243135,19698.194982358687,-19089.022908831863,17175.863231370182,-161.12033596862,-54963.117208444564,-24552.568333343446,-30410.54887510097
28,-0.4603,-1.3097,27.8404527689024,38867.594255118165,18610.1019634675,20257.49229165053,-19030.68003130081,16376.565505843144,-42.32069583946176,-53845.46321557923,-24339.68079345988,-29505.782422119064
29,-0.4438,-1.3002,29.12364928229892,38851.93757836397,17945.963634904245,20905.973943459772,-19034.484585778435,16403.62131187035,-44.889730474646925,-53812.06602973898,-24797.337056402113,-29014.728973336903
30,-0.4274,-1.2907,116.8255847309508,39045.81032382203,17400.51762511187,21645.292698710102,-19102.249644542288,17487.101226165407,-172.8687918925255,-54846.952500059706,-25815.46542522569,-29031.4870748345
31,-0.4109,-1.2812,334.71361783678276,39447.408369812525,16975.278452857616,22472.129916954436,-19240.4065837457,18200.328277061573,-500.08150972146154,-56988.945752119,-27321.414731660047,-29667.531020459064
32,-0.3945,-1.2717,796.5609014358513,40052.552453182376,16665.821535818064,23386.730917364315,-19435.699868646774,16056.216575701832,-1217.8515907172227,-60304.96633118247,-29247.027996313922,-31057.93833486791
33,-0.3781,-1.2622,1781.4175339501137,40854.64716238603,16469.203016378597,24385.4441460078,-19681.659250942306,13735.98860254856,-2783.117743975079,-64968.602556151134,-31568.94103609068,-33399.661520060305
34,-0.3616,-1.2527,4071.4372971317644,41844.627708201886,16380.620342211674,25464.00736599043,-20044.2207825759,12727.811572494804,-6509.231984444864,-71288.36169281474,-34312.787963520634,-36975.573729294236
35,-0.3452,-1.2433,10533.176490183238,43010.8831445434,16390.94353632601,26619.939608217286,-20560.501484947585,13448.189255811178,-17246.63181930652,-79487.48674732466,-37449.5823824942,-42037.90436483113
36,-0.3288,-1.2338,38923.3323653515,44339.14987907774,16491.55283845187,27847.59704062558,-21180.455266863803,17479.388427172722,-65177.28263839865,-88783.24956662644,-40594.65971280698,-48188.58985381945
37,-0.3123,-1.2243,732987.4440027343,45812.402289109465,16672.85421075383,29139.548078355823,-21685.609618567538,20730.797504395312,-1.2515963117191382e6,-96373.46759232508,-42799.09560078795,-53574.37199153673
38,-0.2959,-1.2148,4.053985048749985e7,47410.81226113969,16921.394629180177,30489.41763195911,-21929.363255481512,19662.85539148117,-7.034706684577954e7,-100609.67771924235,-43726.23652453578,-56883.44119470667
39,-0.2794,-1.2053,4.362059517653644e7,49111.87676151292,17225.659401046145,31886.217360466744,-22014.34020338939,17932.63853629636,-7.675375425152914e7,-102999.2874729711,-44075.25734564763,-58924.03012732288
40,-0.263,-1.1958,4.685357396763669e7,50890.79734803054,17570.91464731349,33319.88270071715,-22062.076626086266,17089.990844972195,-8.37103415525749e7,-105077.63239092285,-44406.81069566799,-60670.82169525396
41,-0.2466,-1.1863,5.029659961155626e7,52721.134637643016,17944.14534740763,34776.98929023489,-22121.111582921087,16716.10314832519,-9.17272202040347e7,-107391.37592924185,-44893.50545881571,-62497.87047042592
42,-0.2301,-1.1768,5.3908302638245724e7,54575.67641193082,18332.28126271864,36243.39514921208,-22206.646026100676,16601.706566634326,-1.0125469472640485e8,-110092.9161873516,-45562.63752178088,-64530.27866557093
43,-0.2137,-1.1673,5.765416294245667e7,56427.38577326453,18722.041966176293,37705.343807088335,-22348.27239094456,16619.558820547918,-1.1291653705183436e8,-113337.59676414926,-46411.86545330977,-66925.73131084074
44,-0.1973,-1.1578,6.151634752256171e7,58250.26692557978,19102.392530347643,39147.87439523219,-22499.678362403953,16857.832487022923,-1.2723842775698783e8,-117087.91957688611,-47352.49401891477,-69735.42555797122
45,-0.1808,-1.1483,6.54926935603421e7,60020.010634508886,19463.462892169544,40556.54774233907,-22732.84409109509,17547.62251233879,-1.4523745133266172e8,-121508.59997083477,-48284.63653679387,-73223.96343404018
46,-0.1644,-1.1389,6.958989391739137e7,61714.34674880393,19796.947369343798,41917.39937946047,-23058.149486271544,18844.69855727352,-1.6763760308489576e8,-126540.0762069345,-48942.408307572034,-77597.6678993616
47,-0.1479,-1.1294,7.381277551292992e7,63313.110013624726,20096.628713384503,43216.481300240535,-23441.80631591366,21246.50868790673,-1.9417701682460824e8,-131847.1273488439,-48898.080308296136,-82949.04704054723
