"indexk","kx","ky","band"
148,-0.7457,-0.456,-0.6735
149,-0.7457,-0.4104,-0.5832
150,-0.7457,-0.3648,-0.437
151,-0.7457,-0.3192,-0.27
152,-0.7457,-0.2736,-0.0862
153,-0.7457,-0.228,0.1075
154,-0.7457,-0.1824,0.3007
155,-0.7457,-0.1368,0.4798
156,-0.7457,-0.0912,0.628
157,-0.7457,-0.0456,0.7272
158,-0.7457,0.,0.7623
159,-0.7457,0.0456,0.7272
160,-0.7457,0.0912,0.628
161,-0.7457,0.1368,0.4798
162,-0.7457,0.1824,0.3007
163,-0.7457,0.228,0.1075
164,-0.7457,0.2736,-0.0862
165,-0.7457,0.3192,-0.27
166,-0.7457,0.3648,-0.437
167,-0.7457,0.4104,-0.5832
168,-0.7457,0.456,-0.6735
169,-0.7457,0.5016,-0.756
170,-0.7457,0.5472,-0.8479
171,-0.7457,0.5928,-0.9446
172,-0.7457,0.6384,-1.0341
173,-0.7457,0.684,-1.0847
174,-0.7457,0.7296,-1.1237
175,-0.7457,0.7752,-1.1471
176,-0.6884,-0.7752,-1.1069
177,-0.6884,-0.7296,-1.0811
178,-0.6884,-0.684,-1.0436
179,-0.6884,-0.6384,-0.9975
180,-0.6884,-0.5928,-0.9315
181,-0.6884,-0.5472,-0.8375
182,-0.6884,-0.5016,-0.7485
183,-0.6884,-0.456,-0.6695
184,-0.6884,-0.4104,-0.5957
185,-0.6884,-0.3648,-0.4598
186,-0.6884,-0.3192,-0.3013
187,-0.6884,-0.2736,-0.1237
188,-0.6884,-0.228,0.0661
189,-0.6884,-0.1824,0.2579
190,-0.6884,-0.1368,0.4376
191,-0.6884,-0.0912,0.5878
192,-0.6884,-0.0456,0.6892
193,-0.6884,0.,0.7252
194,-0.6884,0.0456,0.6892
195,-0.6884,0.0912,0.5878
196,-0.6884,0.1368,0.4376
197,-0.6884,0.1824,0.2579
198,-0.6884,0.228,0.0661
199,-0.6884,0.2736,-0.1237
200,-0.6884,0.3192,-0.3013
201,-0.6884,0.3648,-0.4598
202,-0.6884,0.4104,-0.5957
203,-0.6884,0.456,-0.6695
204,-0.6884,0.5016,-0.7485
205,-0.6884,0.5472,-0.8375
206,-0.6884,0.5928,-0.9315
207,-0.6884,0.6384,-0.9975
208,-0.6884,0.684,-1.0436
209,-0.6884,0.7296,-1.0811
210,-0.6884,0.7752,-1.1069
211,-0.631,-0.7752,-1.0644
212,-0.631,-0.7296,-1.0319
213,-0.631,-0.684,-0.9941
214,-0.631,-0.6384,-0.9524
215,-0.631,-0.5928,-0.906
216,-0.631,-0.5472,-0.8529
217,-0.631,-0.5016,-0.7854
218,-0.631,-0.456,-0.7107
219,-0.631,-0.4104,-0.6134
220,-0.631,-0.3648,-0.4918
221,-0.631,-0.3192,-0.3451
222,-0.631,-0.2736,-0.1761
223,-0.631,-0.228,0.0087
224,-0.631,-0.1824,0.1985
225,-0.631,-0.1368,0.379
226,-0.631,-0.0912,0.5316
227,-0.631,-0.0456,0.6355
228,-0.631,0.,0.6727
229,-0.631,0.0456,0.6355
230,-0.631,0.0912,0.5316
231,-0.631,0.1368,0.379
232,-0.631,0.1824,0.1985
233,-0.631,0.228,0.0087
234,-0.631,0.2736,-0.1761
235,-0.631,0.3192,-0.3451
236,-0.631,0.3648,-0.4918
237,-0.631,0.4104,-0.6134
238,-0.631,0.456,-0.7107
239,-0.631,0.5016,-0.7854
240,-0.631,0.5472,-0.8529
241,-0.631,0.5928,-0.906
242,-0.631,0.6384,-0.9524
243,-0.631,0.684,-0.9941
244,-0.631,0.7296,-1.0319
245,-0.631,0.7752,-1.0644
246,-0.5736,-0.7752,-0.9771
247,-0.5736,-0.7296,-0.9394
248,-0.5736,-0.684,-0.903
249,-0.5736,-0.6384,-0.8675
250,-0.5736,-0.5928,-0.8316
251,-0.5736,-0.5472,-0.7928
252,-0.5736,-0.5016,-0.7474
253,-0.5736,-0.456,-0.6904
254,-0.5736,-0.4104,-0.6155
255,-0.5736,-0.3648,-0.5161
256,-0.5736,-0.3192,-0.3883
257,-0.5736,-0.2736,-0.233
258,-0.5736,-0.228,-0.0565
259,-0.5736,-0.1824,0.1297
260,-0.5736,-0.1368,0.3101
261,-0.5736,-0.0912,0.465
262,-0.5736,-0.0456,0.5717
263,-0.5736,0.,0.6101
264,-0.5736,0.0456,0.5717
265,-0.5736,0.0912,0.465
266,-0.5736,0.1368,0.3101
267,-0.5736,0.1824,0.1297
268,-0.5736,0.228,-0.0565
269,-0.5736,0.2736,-0.233
270,-0.5736,0.3192,-0.3883
271,-0.5736,0.3648,-0.5161
272,-0.5736,0.4104,-0.6155
273,-0.5736,0.456,-0.6904
274,-0.5736,0.5016,-0.7474
275,-0.5736,0.5472,-0.7928
276,-0.5736,0.5928,-0.8316
277,-0.5736,0.6384,-0.8675
278,-0.5736,0.684,-0.903
279,-0.5736,0.7296,-0.9394
280,-0.5736,0.7752,-0.9771
281,-0.5163,-0.7752,-0.7939
282,-0.5163,-0.7296,-0.7576
283,-0.5163,-0.684,-0.7263
284,-0.5163,-0.6384,-0.6995
285,-0.5163,-0.5928,-0.6761
286,-0.5163,-0.5472,-0.6541
287,-0.5163,-0.5016,-0.6306
288,-0.5163,-0.456,-0.6015
289,-0.5163,-0.4104,-0.5603
290,-0.5163,-0.3648,-0.4983
291,-0.5163,-0.3192,-0.406
292,-0.5163,-0.2736,-0.2782
293,-0.5163,-0.228,-0.1189
294,-0.5163,-0.1824,0.0591
295,-0.5163,-0.1368,0.2373
296,-0.5163,-0.0912,0.3934
297,-0.5163,-0.0456,0.5026
298,-0.5163,0.,0.5421
299,-0.5163,0.0456,0.5026
300,-0.5163,0.0912,0.3934
301,-0.5163,0.1368,0.2373
302,-0.5163,0.1824,0.0591
303,-0.5163,0.228,-0.1189
304,-0.5163,0.2736,-0.2782
305,-0.5163,0.3192,-0.406
306,-0.5163,0.3648,-0.4983
307,-0.5163,0.4104,-0.5603
308,-0.5163,0.456,-0.6015
309,-0.5163,0.5016,-0.6306
310,-0.5163,0.5472,-0.6541
311,-0.5163,0.5928,-0.6761
312,-0.5163,0.6384,-0.6995
313,-0.5163,0.684,-0.7263
314,-0.5163,0.7296,-0.7576
315,-0.5163,0.7752,-0.7939
316,-0.4589,-0.7752,-0.4954
317,-0.4589,-0.7296,-0.4624
318,-0.4589,-0.684,-0.4365
319,-0.4589,-0.6384,-0.4173
320,-0.4589,-0.5928,-0.4041
321,-0.4589,-0.5472,-0.3957
322,-0.4589,-0.5016,-0.3904
323,-0.4589,-0.456,-0.3858
324,-0.4589,-0.4104,-0.3786
325,-0.4589,-0.3648,-0.3632
326,-0.4589,-0.3192,-0.3303
327,-0.4589,-0.2736,-0.2649
328,-0.4589,-0.228,-0.1534
329,-0.4589,-0.1824,-0.0011
330,-0.4589,-0.1368,0.1674
331,-0.4589,-0.0912,0.322
332,-0.4589,-0.0456,0.4325
333,-0.4589,0.,0.473
334,-0.4589,0.0456,0.4325
335,-0.4589,0.0912,0.322
336,-0.4589,0.1368,0.1674
337,-0.4589,0.1824,-0.0011
338,-0.4589,0.228,-0.1534
339,-0.4589,0.2736,-0.2649
340,-0.4589,0.3192,-0.3303
341,-0.4589,0.3648,-0.3632
342,-0.4589,0.4104,-0.3786
343,-0.4589,0.456,-0.3858
344,-0.4589,0.5016,-0.3904
345,-0.4589,0.5472,-0.3957
346,-0.4589,0.5928,-0.4041
347,-0.4589,0.6384,-0.4173
348,-0.4589,0.684,-0.4365
349,-0.4589,0.7296,-0.4624
350,-0.4589,0.7752,-0.4954
351,-0.4016,-0.7752,-0.0984
